ds,y,yhat,yhat_lower,yhat_upper,adjusted_y,adjusted_y_lower,adjusted_y_upper,p_value_adj,p_value,h_ahead
2008-10-01 00:00:00,13659.0,15860.526178379865,12768.694118568787,19003.209732554184,14534.144589441346,11442.312529630268,17676.828143615665,0.7171512099484281,0.1827113653493152,0
2008-10-01 01:00:00,12782.0,15860.304738175426,13047.911522615941,18816.08855253303,14612.7866569728,11800.393441413315,17568.570471330404,0.7056680166368682,0.08567920281820662,1
2008-10-01 02:00:00,12384.0,15860.083297970985,12809.590732625787,18766.05499468494,14535.55457389969,11485.062008554492,17441.526270613645,0.7158384084442547,0.06735550024589464,2
2008-10-01 03:00:00,11883.0,15859.861857766547,13021.854321958683,18772.243050406723,14520.82139121067,11682.813855402805,17433.202583850845,0.7182648117854343,0.03814796697323398,3
2008-10-01 04:00:00,11823.0,15859.640417562106,12830.575923103886,18756.02624708967,14526.619718704253,11497.555224246033,17423.005548231817,0.7166709874762431,0.04039830014077064,4
2008-10-01 05:00:00,12033.0,15859.418977357664,12729.401739723211,18854.111496751917,14519.660341974131,11389.643104339679,17514.352861368385,0.7172887950563415,0.05465508678112347,5
2008-10-01 06:00:00,12733.0,15859.197537153224,12979.45355963901,18681.76113936123,14545.180696946336,11665.436719432122,17367.744299154343,0.7153528420907415,0.07998392862815079,6
2008-10-01 07:00:00,14358.0,15858.976096948785,12804.572993180436,18959.74134647033,14523.601936676854,11469.198832908505,17624.3671861984,0.7179357852954925,0.2659761290591576,7
2008-10-01 08:00:00,15137.0,15858.754656744346,12961.690655376384,18942.601483138606,14526.43066338135,11629.366662013388,17610.27748977561,0.7175539640999921,0.3785443826113108,8
2008-10-01 09:00:00,15210.0,15858.533216539907,12446.00921171867,18698.172041658127,14547.087543223694,11134.563538402457,17386.72636834191,0.7154289805714626,0.39516997396412507,9
2008-10-01 10:00:00,15360.0,15858.311776335466,12762.507134478357,18660.510724152864,14539.079756963501,11443.275115106393,17341.2787047809,0.7158432892655949,0.4142787481697346,10
2008-10-01 11:00:00,15574.0,15858.090336131028,12949.744560189982,18768.601074505932,14560.589025737598,11652.243249796551,17471.099764112503,0.7120497804197079,0.45020764230310184,11
2008-10-01 12:00:00,15521.0,15857.868895926587,12896.329849584403,18788.28252321848,14513.925164388278,11552.386118046094,17444.338791680173,0.7195525595191852,0.44174601848439926,12
2008-10-01 13:00:00,15571.0,15857.647455722148,12897.594186252241,18767.139620802165,14551.285574370424,11591.232304900517,17460.77773945044,0.7139503770597487,0.45019340519948003,13
2008-10-01 14:00:00,15622.0,15857.426015517709,13098.820991214765,18785.711277409937,14537.597382454918,11778.992358151974,17465.882644347148,0.7161088013267859,0.45774856891396226,14
2008-10-01 15:00:00,15515.0,15857.204575313268,12928.316141977299,18670.4885902295,14509.99573034445,11581.10729700848,17323.279745260683,0.7193980154063844,0.4392984852343244,15
2008-10-01 16:00:00,15256.0,15856.983135108829,12906.575379414717,18925.30373194223,14486.207509731812,11535.7997540377,17554.528106565213,0.7226557477408672,0.3990018924226251,16
2008-10-01 17:00:00,15176.0,15856.76169490439,12952.263254883723,19058.168259941383,14542.924913499734,11638.426473479067,17744.331478536726,0.7154036982387472,0.3875285259475049,17
2008-10-01 18:00:00,15135.0,15856.540254699947,13072.444013175547,18819.981888522394,14540.351265833804,11756.255024309405,17503.79289965625,0.7147805161882219,0.37381368088954203,18
2008-10-01 19:00:00,15254.0,15856.318814495511,13089.993177487104,18990.61086131271,14592.423461380915,11826.097824372508,17726.715508198115,0.7081115076417664,0.3968016161892231,19
2008-10-01 20:00:00,16053.0,15856.097374291068,12966.450805548422,18833.79790491712,14551.05357006619,11661.407001323543,17528.75410069224,0.714299535455376,0.5342728804945048,20
2008-10-01 21:00:00,16331.0,15855.875934086629,13066.435236626588,18727.746653803137,14562.515167870397,11773.074470410356,17434.385887586905,0.7125779359018077,0.5851583455201658,21
