ds,y,yhat,yhat_lower,yhat_upper,adjusted_y,adjusted_y_lower,adjusted_y_upper,p_value_adj,p_value,h_ahead
2008-10-01 00:00:00,13659.0,14419.251244925772,12481.021089840919,16429.452716941458,13738.163495821978,11799.933340737125,15748.364967837664,0.6786529563958348,0.31082507750368976,0
2008-10-01 01:00:00,12782.0,13571.784847410665,11813.982559943608,15462.195673418353,12916.650771843739,11158.848484376682,14807.061597851427,0.6725785403158382,0.2894902910587498,1
2008-10-01 02:00:00,12384.0,12924.103216230742,11019.616423724567,14672.07637012775,12274.995650735736,10370.508858229561,14022.968804632745,0.6701620924237205,0.3523380435163119,2
2008-10-01 03:00:00,11883.0,12550.760614211073,10605.664434952389,14532.203702185558,11894.804893400864,9949.70871414218,13876.247981375349,0.6722354012257823,0.33145825935229567,3
2008-10-01 04:00:00,11823.0,12502.381775134862,10494.950157540317,14374.68187725179,11816.747059043437,9809.315441448893,13689.047161160366,0.6801756195632495,0.32677848967680645,4
2008-10-01 05:00:00,12033.0,12807.91099819334,10957.581616189633,14840.56802382875,12161.702284461257,10311.37290245755,14194.359310096666,0.6695931473095134,0.30449785678470725,5
2008-10-01 06:00:00,12733.0,13431.289955817278,11651.988030289009,15317.337847419978,12769.264874302138,10989.962948773868,14655.312765904837,0.6743732624523223,0.3126687912204788,6
2008-10-01 07:00:00,14358.0,14234.899614646727,12362.23001950932,16127.932883699372,13571.88261026401,11699.213015126603,15464.915879316655,0.6745496813022274,0.5333873229876243,7
2008-10-01 08:00:00,15137.0,15011.730766668343,13104.236746362321,16807.96088746765,14348.134495292821,12440.6404749868,16144.364616092127,0.6744252179861561,0.5345412646558756,8
2008-10-01 09:00:00,15210.0,15585.230980578945,13740.531274942727,17495.889490627553,14927.050127833772,13082.350422197555,16837.70863788238,0.6737206026280711,0.39893594103413477,9
2008-10-01 10:00:00,15360.0,15902.62385139877,14091.102877168938,17780.085646207193,15262.163459729873,13450.64248550004,17139.625254538296,0.6687557195758529,0.3530813241396167,10
2008-10-01 11:00:00,15574.0,16041.600981019945,14179.503647514335,17818.981142840155,15400.10801642709,13538.01068292148,17177.488178247302,0.6693133851415609,0.3709613987558458,11
2008-10-01 12:00:00,15521.0,16123.817000603181,14357.505260863105,17946.411495121807,15469.434862822292,13703.123123082216,17292.029357340918,0.671958842789556,0.3334101058945974,12
2008-10-01 13:00:00,15571.0,16212.983595247264,14287.881179035161,18073.51455056702,15564.948595041233,13639.84617882913,17425.47955036099,0.671545876685497,0.3319039699852664,13
2008-10-01 14:00:00,15622.0,16287.66748852836,14503.8313098912,18078.612226212936,15612.819679778951,13828.983501141793,17403.764417463528,0.6773516430861081,0.3165810777665804,14
2008-10-01 15:00:00,15515.0,16304.989924075606,14486.514382772135,18266.21975637643,15663.188346691411,13844.71280538794,17624.418178992237,0.6692147182871246,0.29607952471440735,15
2008-10-01 16:00:00,15256.0,16282.099865776832,14433.514634849129,18417.761365018134,15583.105575249785,13734.520344322082,17718.767074491087,0.6830168500964033,0.25459494915925723,16
2008-10-01 17:00:00,15176.0,16305.02358731803,14540.82867439543,18213.16962178284,15631.498863486291,13867.303950563692,17539.6448979511,0.6768011533003669,0.21534841464798682,17
2008-10-01 18:00:00,15135.0,16447.261002779287,14600.073345392024,18307.55039139594,15786.839454428275,13939.651797041011,17647.128843044928,0.6741075068923772,0.18214787585190217,18
2008-10-01 19:00:00,15254.0,16673.08633090467,14599.636927092215,18573.9325374426,16004.81104075547,13931.361636943016,17905.657247293402,0.6748799593626366,0.18004403051549472,19
2008-10-01 20:00:00,16053.0,16822.4712979589,14792.242110478706,18826.82625997175,16180.30432716597,14150.075139685778,18184.65928917882,0.6689580673566152,0.31248028060464567,20
2008-10-01 21:00:00,16331.0,16703.40730475401,14732.372081262523,18602.231548744778,16052.312915913513,14081.277692422025,17951.13715990428,0.6718316853130695,0.4025878035212881,21
2008-10-01 22:00:00,15774.0,16220.467893003213,14413.17419151685,18105.80647378018,15548.808638623175,13741.514937136812,17434.147219400144,0.6768009875919768,0.3783188607534397,22
2008-10-01 23:00:00,14803.0,15437.083063651351,13576.9412953455,17267.4073437551,14767.259960886904,12907.118192581052,16597.584240990655,0.6767070802968953,0.3298296934437939,23
2008-10-02 00:00:00,13671.0,14499.86097022805,12507.648486710355,16351.986294372578,14095.277137025614,12103.06465350792,15947.402461170142,0.6085072726634606,0.29026198332588266,0
2008-10-02 01:00:00,12933.0,13659.246438185335,11733.869288932741,15577.495993283464,13246.82735901985,11321.450209767256,15165.076914117979,0.6102754705209158,0.3140886935082152,1
2008-10-02 02:00:00,12548.0,13016.24608787752,11185.232737300288,14865.845111717254,12624.670191890591,10793.65684131336,14474.269215730325,0.6043790035814625,0.3721830518870247,2
2008-10-02 03:00:00,12281.0,12645.391473021642,10724.166265561911,14498.158659712177,12246.98035464048,10325.75514718075,14099.747541331015,0.6073335812723484,0.40226989224627374,3
2008-10-02 04:00:00,12140.0,12597.40508992079,10733.624931310782,14509.744847299125,12212.984764142064,10349.204605532055,14125.324521520399,0.6036846312361197,0.3781013350048413,4
2008-10-02 05:00:00,12347.0,12901.4026199849,11020.844123110788,14756.066746677936,12485.954659924766,10605.396163050655,14340.618786617802,0.6108517050782398,0.35181308982918047,5
2008-10-02 06:00:00,13183.0,13521.47195265248,11674.844369354061,15357.420271715693,13120.83919119132,11274.211607892901,14956.787510254533,0.6074736221960423,0.4068795826837065,6
