year,month,day,hour,y_hat,y
2015.0,1.0,5.0,7.0,17929.873,18034.0
2015.0,1.0,5.0,8.0,18635.277,19031.0
2015.0,1.0,5.0,9.0,18703.746,19120.0
2015.0,1.0,5.0,10.0,18645.178,19038.0
2015.0,1.0,5.0,11.0,18533.098,18936.0
2015.0,1.0,5.0,12.0,18293.602,18840.0
2015.0,1.0,5.0,13.0,18067.826,18546.0
2015.0,1.0,5.0,14.0,17894.55,18317.0
2015.0,1.0,5.0,15.0,17718.57,18149.0
2015.0,1.0,5.0,16.0,17675.547,18176.0
2015.0,1.0,5.0,17.0,18000.72,18576.0
2015.0,1.0,5.0,18.0,18927.195,19702.0
2015.0,1.0,5.0,19.0,19350.51,20225.0
2015.0,1.0,5.0,20.0,19068.19,20189.0
2015.0,1.0,5.0,21.0,18922.273,19953.0
2015.0,1.0,5.0,22.0,18310.52,19329.0
2015.0,1.0,5.0,23.0,17468.07,18736.0
2015.0,1.0,6.0,0.0,17269.94,17962.0
2015.0,1.0,6.0,1.0,16763.25,17575.0
2015.0,1.0,6.0,2.0,16546.809,17239.0
2015.0,1.0,6.0,3.0,16512.545,17119.0
2015.0,1.0,6.0,4.0,16622.434,17084.0
2015.0,1.0,6.0,5.0,16988.682,17277.0
2015.0,1.0,6.0,6.0,17848.264,17979.0
2015.0,1.0,6.0,7.0,19281.773,18997.0
2015.0,1.0,6.0,8.0,19997.824,19617.0
2015.0,1.0,6.0,9.0,19921.135,19528.0
2015.0,1.0,6.0,10.0,19715.13,19206.0
2015.0,1.0,6.0,11.0,19493.867,18935.0
2015.0,1.0,6.0,12.0,19129.75,18639.0
2015.0,1.0,6.0,13.0,18762.945,18542.0
2015.0,1.0,6.0,14.0,18442.969,18355.0
2015.0,1.0,6.0,15.0,18146.172,18112.0
2015.0,1.0,6.0,16.0,17963.932,17979.0
2015.0,1.0,6.0,17.0,18194.512,18429.0
2015.0,1.0,6.0,18.0,19056.494,19476.0
2015.0,1.0,6.0,19.0,19714.553,20085.0
2015.0,1.0,6.0,20.0,19738.045,20061.0
2015.0,1.0,6.0,21.0,19811.412,19860.0
2015.0,1.0,6.0,22.0,19456.652,19425.0
2015.0,1.0,6.0,23.0,18722.066,18629.0
2015.0,1.0,7.0,0.0,18321.334,17955.0
2015.0,1.0,7.0,1.0,17854.648,17370.0
2015.0,1.0,7.0,2.0,17648.934,17033.0
2015.0,1.0,7.0,3.0,17611.057,17025.0
2015.0,1.0,7.0,4.0,17711.438,17131.0
2015.0,1.0,7.0,5.0,18062.443,17485.0
2015.0,1.0,7.0,6.0,18872.62,18365.0
2015.0,1.0,7.0,7.0,20229.768,19588.0
2015.0,1.0,7.0,8.0,20909.8,20596.0
2015.0,1.0,7.0,9.0,20686.885,20716.0
2015.0,1.0,7.0,10.0,20275.062,20663.0
2015.0,1.0,7.0,11.0,19829.406,20654.0
2015.0,1.0,7.0,12.0,19293.516,20526.0
2015.0,1.0,7.0,13.0,18814.87,20447.0
2015.0,1.0,7.0,14.0,18395.428,20401.0
2015.0,1.0,7.0,15.0,18122.357,20312.0
2015.0,1.0,7.0,16.0,17922.467,20421.0
2015.0,1.0,7.0,17.0,18143.191,20998.0
2015.0,1.0,7.0,18.0,19068.357,22085.0
2015.0,1.0,7.0,19.0,19609.145,22778.0
2015.0,1.0,7.0,20.0,19478.508,22816.0
2015.0,1.0,7.0,21.0,19320.959,22903.0
2015.0,1.0,7.0,22.0,18834.037,22565.0
2015.0,1.0,7.0,23.0,18094.174,21803.0
2015.0,1.0,8.0,0.0,17609.795,21300.0
2015.0,1.0,8.0,1.0,17011.627,20972.0
2015.0,1.0,8.0,2.0,16721.143,20927.0
2015.0,1.0,8.0,3.0,16606.479,20965.0
2015.0,1.0,8.0,4.0,16624.322,21022.0
2015.0,1.0,8.0,5.0,16910.408,21435.0
2015.0,1.0,8.0,6.0,17610.398,22182.0
2015.0,1.0,8.0,7.0,18880.184,23056.0
2015.0,1.0,8.0,8.0,19579.406,23657.0
2015.0,1.0,8.0,9.0,19468.965,23578.0
2015.0,1.0,8.0,10.0,19230.3,23211.0
2015.0,1.0,8.0,11.0,18956.209,22815.0
2015.0,1.0,8.0,12.0,18547.309,22398.0
2015.0,1.0,8.0,13.0,18168.818,22080.0
2015.0,1.0,8.0,14.0,17865.379,21691.0
2015.0,1.0,8.0,15.0,17588.709,21296.0
2015.0,1.0,8.0,16.0,17476.729,21091.0
2015.0,1.0,8.0,17.0,17737.621,21302.0
2015.0,1.0,8.0,18.0,18595.377,22057.0
2015.0,1.0,8.0,19.0,19151.22,22450.0
2015.0,1.0,8.0,20.0,19117.48,22200.0
2015.0,1.0,8.0,21.0,19165.73,21775.0
2015.0,1.0,8.0,22.0,18655.094,21186.0
2015.0,1.0,8.0,23.0,17911.387,20314.0
2015.0,1.0,9.0,0.0,18354.328,19543.0
2015.0,1.0,9.0,1.0,18040.582,18572.0
2015.0,1.0,9.0,2.0,17946.52,18190.0
2015.0,1.0,9.0,3.0,18003.158,18055.0
2015.0,1.0,9.0,4.0,18138.16,17991.0
2015.0,1.0,9.0,5.0,18529.322,18175.0
2015.0,1.0,9.0,6.0,19304.771,18717.0
2015.0,1.0,9.0,7.0,20569.75,19805.0
