ds,y,yhat,yhat_lower,yhat_upper,adjusted_y,adjusted_y_lower,adjusted_y_upper,p_value_adj,p_value
2015-01-02 05:00:00,9533.0,9438.026991640621,7725.604958767862,11060.3651506715,9438.88581646025,7726.463783587489,11061.223975491128,0.49973596299309353,0.5290955239331725
2015-01-02 06:00:00,9791.0,9651.732201554929,8035.740004867846,11247.889944527185,9651.890935507632,8035.898738820549,11248.048678479889,0.49995120868592996,0.5442423219784301
2015-01-02 07:00:00,10346.0,10107.938819361218,8282.361855106865,11718.871133765722,10108.31119384763,8282.734229593278,11719.243508252135,0.4998862417864909,0.5704644463760375
2015-01-02 08:00:00,11115.0,10722.445350581798,9113.211027779696,12457.578086826825,10722.09897754174,9112.864654739638,12457.231713786767,0.5001063465482931,0.6182361557463886
2015-01-02 09:00:00,11543.0,11353.913993334638,9811.974610350913,12891.860407069506,11353.143326094307,9811.203943110582,12891.089739829175,0.5002361390829757,0.5625189338934019
2015-01-02 10:00:00,11598.0,11868.41885736386,10252.072062758114,13392.640884072394,11869.34176242097,10252.994967815224,13393.563789129505,0.4997174993657761,0.4126645181335088
2015-01-02 11:00:00,11661.0,12207.354765104506,10393.081346373741,13855.401916244193,12208.366301849666,10394.092883118901,13856.413452989353,0.49968931442384407,0.3429379406417251
2015-01-02 12:00:00,11701.0,12402.496515520756,10776.618646254503,13911.886642197007,12403.102589475006,10777.224720208753,13912.492716151257,0.4998149879419307,0.2831604703276278
2015-01-02 13:00:00,11628.0,12527.61717162899,10686.432666919169,14222.4570407056,12528.153904769912,10686.96940006009,14222.993773846521,0.4998348574529383,0.25717105974621685
2015-01-02 14:00:00,11469.0,12632.535331004134,10985.341476256035,14349.001028088305,12634.017009646974,10986.823154898875,14350.482706731145,0.49954739758431,0.1876439052753041
2015-01-02 15:00:00,11445.0,12717.839443531848,11007.793875627796,14483.60727206152,12716.853330893551,11006.8077629895,14482.621159423223,0.5003021518342872,0.1739665758673749
2015-01-02 16:00:00,11394.0,12765.058812323796,11158.868846758665,14408.658755839802,12766.947840987204,11160.757875422074,14410.547784503211,0.49942075890883736,0.13977039745603415
2015-01-02 17:00:00,11478.0,12781.167085156876,11236.565801956851,14380.36212665992,12781.342173042456,11236.740889842431,14380.5372145455,0.499946509869561,0.14401390179830004
2015-01-02 18:00:00,12211.0,12803.688238259669,11132.692739943655,14425.590271082774,12804.115121814744,11133.119623498731,14426.01715463785,0.49986949075277315,0.3222799888887392
2015-01-02 19:00:00,12804.0,12855.771179938416,11184.33996947894,14514.015908353767,12856.487975431193,11185.056764971718,14514.732703846545,0.4997800169071883,0.4841054843934999
2015-01-02 20:00:00,12666.0,12896.017452933645,11272.095179711541,14465.438096514716,12896.970866545922,11273.048593323818,14466.391510126992,0.4997080873045562,0.42676312097405744
2015-01-02 21:00:00,12436.0,12819.37778741288,11180.11586406007,14479.437710565704,12818.618152713881,11179.356229361072,14478.678075866706,0.500231324377091,0.38291648341041373
2015-01-02 22:00:00,12185.0,12520.036592670245,10832.395916969443,14277.856864497233,12518.924812380521,10831.284136679718,14276.745084207509,0.5003415089532813,0.4015890681178387
2015-01-02 23:00:00,11823.0,11968.297017216857,10261.521090523967,13600.69559593262,11968.562973767472,10261.787047074582,13600.961552483235,0.499918602929346,0.45559885711978915
2015-01-03 00:00:00,11194.0,11238.269963194554,9542.25866822957,12900.864517243936,11238.467776494852,9542.456481529867,12901.062330544233,0.49993923344077185,0.48652453817807706
2015-01-03 01:00:00,10520.0,10466.369017886698,8962.265060350377,12220.374948024926,10467.34507200801,8963.24111447169,12221.351002146239,0.49969974631371045,0.5168266375538465
2015-01-03 02:00:00,9963.0,9780.30163331299,8198.273925186872,11426.094944269895,9780.650113477499,8198.62240535138,11426.443424434403,0.49989283234766557,0.5576740031118288
2015-01-03 03:00:00,9622.0,9257.618463280332,7594.244816747985,10893.649613094836,9257.458217285593,7594.084570753247,10893.489367100097,0.5000490584485006,0.6114366617914897
2015-01-03 04:00:00,9475.0,8936.06738512334,7341.127449538435,10740.009637091545,8936.281941022124,7341.342005437217,10740.224192990328,0.49993427325736733,0.6577793309492206
2015-01-03 05:00:00,9423.0,8844.534183613732,7258.896383284742,10572.903295612525,8844.31214512636,7258.674344797369,10572.681257125152,0.5000683052284898,0.6727047766371753
2015-01-03 06:00:00,9494.0,9007.474917114512,7252.789718193327,10704.734324642684,9007.597842204155,7252.912643282969,10704.857249732328,0.4999624867901312,0.6410436051449449
2015-01-03 07:00:00,9733.0,9411.78242278098,7779.793428401748,10911.130734098298,9410.838463141416,7778.849468762184,10910.186774458734,0.5002891554545879,0.60369665787544
2015-01-03 08:00:00,10135.0,9973.692921787831,8264.273897261535,11706.497487914003,9974.339615358842,8264.920590832546,11707.144181485013,0.4998025420076723,0.547802132835096
2015-01-03 09:00:00,10432.0,10552.338545852275,8913.524114889164,12135.302179474065,10552.305099497375,8913.490668534263,12135.268733119165,0.500010232897984,0.4618651292388017
2015-01-03 10:00:00,10696.0,11014.291275807595,9376.812723843892,12812.013722453577,11014.4519747731,9376.973422809397,12812.174421419082,0.49995066654607473,0.4061397515961892
2015-01-03 11:00:00,11014.0,11301.46701221842,9658.976852799631,12940.963343531688,11301.272213446984,9658.782054028195,12940.768544760253,0.5000595126427899,0.41118394002412534
2015-01-03 12:00:00,11244.0,11446.179708701171,9889.966781316156,13091.799134896824,11446.350769963248,9890.137842578233,13091.970196158902,0.4999475642479641,0.43571311068194196
2015-01-03 13:00:00,11249.0,11522.754184220614,9845.979421825008,13019.93108838881,11522.08023238657,9845.305469990964,13019.257136554766,0.5002052882520919,0.4125196130892709
2015-01-03 14:00:00,11328.0,11581.567634611216,9876.199071006055,13197.821447601294,11581.514791662563,9876.146228057401,13197.768604652641,0.5000161771563196,0.4224368082942177
2015-01-03 15:00:00,11200.0,11623.767972323725,10000.581648020005,13176.032372015892,11624.196124397153,10001.009800093432,13176.46052408932,0.49986862156291667,0.3661568578133598
2015-01-03 16:00:00,11073.0,11631.438698690765,9935.645056588633,13339.586869524013,11631.559615558263,9935.765973456131,13339.707786391511,0.49996282343032356,0.3370624272098083
2015-01-03 17:00:00,11033.0,11612.096186810259,9998.370133362663,13273.86519678734,11610.944323958975,9997.21827051138,13272.713333936055,0.5003513468702294,0.32522117332316325
2015-01-03 18:00:00,11517.0,11603.789449714739,9980.044139778794,13153.542613746444,11604.20341738597,9980.458107450026,13153.956581417675,0.4998730835012597,0.4720585297394829
2015-01-03 19:00:00,12009.0,11630.168594858469,9972.965602699223,13338.100289911392,11630.690099741592,9973.487107582347,13338.621794794515,0.49984001485008295,0.6135342013976623
2015-01-03 20:00:00,12010.0,11650.306517338498,10054.500912200749,13397.84855760055,11650.559211966349,10054.753606828599,13398.1012522284,0.4999224633882081,0.6086303433859115
2015-01-03 21:00:00,11840.0,11559.589656429836,9898.002052228978,13177.893595889831,11558.825224600267,9897.237620399408,13177.129164060261,0.5002338192416729,0.5867253709841121
2015-01-03 22:00:00,11648.0,11252.596974386981,9448.03763381171,12912.417659367655,11254.148922345463,9449.589581770191,12913.969607326137,0.4995262581521026,0.6150618957996739
2015-01-03 23:00:00,11302.0,10699.979855304311,9039.625965726673,12275.09708989687,10700.926268144734,9040.572378567096,12276.043502737293,0.49970928106062856,0.6832881253824652
2015-01-04 00:00:00,10823.0,9976.146374633103,8249.899067947239,11725.103414739382,9976.551098001584,8250.30379131572,11725.508138107863,0.4998756771756492,0.7338794633886571
2015-01-04 01:00:00,10217.0,9217.751962385028,7572.175785385215,10995.985397720646,9219.145284473958,7573.569107474145,10997.378719809576,0.4995729877840394,0.7727845593998642
2015-01-04 02:00:00,9752.0,8552.686846220618,6867.0263223312495,10237.017004990032,8552.93756739349,6867.27704350412,10237.267726162903,0.49992285998086905,0.8191571734357773
2015-01-04 03:00:00,9384.0,8058.622233169612,6376.393826790529,9701.94620014536,8059.114012259457,6376.885605880374,9702.437979235205,0.4998492777488765,0.8464931999686133
2015-01-04 04:00:00,9251.0,7773.361800112536,6063.943147309645,9316.046594247764,7772.55619379475,6063.137540991858,9315.240987929978,0.5002470733753127,0.8779057563081423
2015-01-04 05:00:00,9197.0,7725.780506525241,6012.963640137598,9412.953575754558,7726.071201754997,6013.254335367354,9413.244270984314,0.49991080604019145,0.8663038420328173
2015-01-04 06:00:00,9251.0,7940.255778026682,6360.810657526744,9605.70841111751,7940.254792528889,6360.809672028951,9605.707425619717,0.500000300912003,0.8497449350829451
2015-01-04 07:00:00,9404.0,8403.53353811521,6732.929433350376,10044.088434651381,8403.211478678337,6732.607373913503,10043.766375214507,0.500098097402059,0.7806651050303779
2015-01-04 08:00:00,9677.0,9031.635061650748,7329.292815871227,10668.236821839648,9032.488292693468,7330.1460469139465,10669.090052882368,0.4997366554212252,0.6898436425977201
2015-01-04 09:00:00,9805.0,9683.41047553182,7989.71394922376,11342.753377582852,9684.598472767626,7990.901946459567,11343.941374818658,0.4996363559950618,0.5370261638309645
2015-01-04 10:00:00,10078.0,10225.084392953631,8611.470005656072,11720.501744748006,10224.817821876695,8611.203434579136,11720.23517367107,0.5000816255018121,0.45174366157421314
2015-01-04 11:00:00,10324.0,10598.162388718401,9053.105991074119,12220.824613850062,10600.19268337432,9055.136285730037,12222.85490850598,0.49937739825167676,0.41222170473743497
2015-01-04 12:00:00,10657.0,10834.488225333826,9102.467979993731,12475.397095190317,10833.938938281752,9101.918692941657,12474.847808138244,0.5001684843088489,0.44635572670504275
2015-01-04 13:00:00,10858.0,11007.860416802481,9364.44701616604,12681.199436501247,11008.793632925106,9365.380232288664,12682.132652623872,0.4997150970989679,0.4539022069877312
2015-01-04 14:00:00,11023.0,11168.078114102758,9544.233548892662,12915.183704777675,11166.814992989099,9542.970427779002,12913.920583664016,0.5003860825990594,0.4560816861455353
2015-01-04 15:00:00,11060.0,11315.66439674069,9627.116597650955,13005.328682087977,11316.478687836454,9627.930888746718,13006.14297318374,0.499750781914045,0.42309708810391294
2015-01-04 16:00:00,11119.0,11432.036623714052,9732.239200263813,13082.232031655118,11432.33120962233,9732.533786172093,13082.526617563397,0.4999096816796258,0.4053564177397925
2015-01-04 17:00:00,11253.0,11524.009664866633,9780.493305917194,13120.202803680279,11523.20157734753,9779.685218398092,13119.394716161176,0.5002478174408801,0.41761844125466474
2015-01-04 18:00:00,12008.0,11628.902024195013,9968.733626159385,13272.91062879093,11629.859361901541,9969.690963865913,13273.867966497459,0.4997064449734923,0.6156487036863718
2015-01-04 19:00:00,12975.0,11769.610988234987,10131.835026837352,13400.98600626487,11770.345619738846,10132.569658341212,13401.720637768729,0.4997759310859662,0.827685293893276
2015-01-04 20:00:00,13078.0,11904.441280181136,10212.607678953464,13798.136142775798,11906.738633345747,10214.905032118075,13800.43349594041,0.499296267225516,0.7992413713097246
2015-01-04 21:00:00,13106.0,11928.002969016108,10170.869303468207,13556.88636070202,11926.991591830118,10169.857926282217,13555.874983516029,0.5003101259976016,0.8137244270414001
2015-01-04 22:00:00,12990.0,11734.097714833719,10132.712713169318,13457.2427613219,11735.384650683996,10133.999649019595,13458.529697172178,0.49960618815626134,0.8335425527775515
2015-01-04 23:00:00,12627.0,11292.605969286711,9684.492433146625,12959.234595549255,11293.339178021597,9685.22564188151,12959.96780428414,0.499775665228228,0.8518532642658077
2015-01-05 00:00:00,12084.0,10677.178502178127,9091.926100077006,12303.502271944455,10677.875530612719,9092.623128511597,12304.199300379047,0.499786603277859,0.8692302363097277
2015-01-05 01:00:00,11601.0,10023.734197219805,8402.097222664295,11663.317626292459,10024.618366643619,8402.98139208811,11664.201795716273,0.49972925066403207,0.8924431948691645
2015-01-05 02:00:00,11325.0,9459.454426449056,7747.985424137121,11003.37698538305,9459.83606898739,7748.367066675455,11003.758627921385,0.49988338898983886,0.929059252226192
2015-01-05 03:00:00,11209.0,9061.335885323777,7416.28662701042,10700.872332059911,9061.52061700511,7416.471358691751,10701.057063741244,0.4999430182779558,0.9531225236972298
2015-01-05 04:00:00,11181.0,8866.548386105756,7169.654765361175,10612.564901418164,8866.356956035597,7169.463335291015,10612.373471348004,0.5000588316068151,0.9575568933758457
2015-01-05 05:00:00,11217.0,8903.37955501424,7186.948761219576,10528.838820455441,8904.372224961937,7187.941431167273,10529.831490403138,0.49969548694084426,0.96200639354022
2015-01-05 06:00:00,11570.0,9195.671417347803,7523.996058824668,10901.270425785278,9196.21668471679,7524.541326193654,10901.815693154265,0.4998325710756104,0.964222652734018
