year,month,day,hour,y_hat,y
2015.0,1.0,5.0,7.0,10773.416,12312.0
2015.0,1.0,5.0,8.0,11483.653,13465.0
2015.0,1.0,5.0,9.0,11790.597,14010.0
2015.0,1.0,5.0,10.0,11867.398,14073.0
2015.0,1.0,5.0,11.0,11984.127,14079.0
2015.0,1.0,5.0,12.0,12170.598,14133.0
2015.0,1.0,5.0,13.0,12330.808,14176.0
2015.0,1.0,5.0,14.0,12456.49,14122.0
2015.0,1.0,5.0,15.0,12629.016,14234.0
2015.0,1.0,5.0,16.0,12685.886,14187.0
2015.0,1.0,5.0,17.0,12771.902,14248.0
2015.0,1.0,5.0,18.0,13219.053,14865.0
2015.0,1.0,5.0,19.0,13832.574,15447.0
2015.0,1.0,5.0,20.0,13738.064,15322.0
2015.0,1.0,5.0,21.0,13403.641,15122.0
2015.0,1.0,5.0,22.0,13095.41,14827.0
2015.0,1.0,5.0,23.0,12578.748,14198.0
2015.0,1.0,6.0,0.0,13441.535,13262.0
2015.0,1.0,6.0,1.0,12776.6455,12414.0
2015.0,1.0,6.0,2.0,12403.024,11904.0
2015.0,1.0,6.0,3.0,12231.351,11598.0
2015.0,1.0,6.0,4.0,12169.935,11472.0
2015.0,1.0,6.0,5.0,12234.031,11492.0
2015.0,1.0,6.0,6.0,12510.541,11712.0
2015.0,1.0,6.0,7.0,13216.727,12421.0
2015.0,1.0,6.0,8.0,14166.553,13479.0
2015.0,1.0,6.0,9.0,14564.711,13897.0
2015.0,1.0,6.0,10.0,14606.592,13859.0
2015.0,1.0,6.0,11.0,14607.403,13838.0
2015.0,1.0,6.0,12.0,14597.367,13875.0
2015.0,1.0,6.0,13.0,14473.7,13748.0
2015.0,1.0,6.0,14.0,14311.172,13713.0
2015.0,1.0,6.0,15.0,14250.765,13785.0
2015.0,1.0,6.0,16.0,14146.869,13783.0
2015.0,1.0,6.0,17.0,14146.456,13920.0
2015.0,1.0,6.0,18.0,14794.342,14644.0
2015.0,1.0,6.0,19.0,15547.248,15347.0
2015.0,1.0,6.0,20.0,15230.801,15297.0
2015.0,1.0,6.0,21.0,15123.737,15099.0
2015.0,1.0,6.0,22.0,14939.159,14804.0
2015.0,1.0,6.0,23.0,14317.064,14301.0
2015.0,1.0,7.0,0.0,13765.001,13549.0
2015.0,1.0,7.0,1.0,12970.191,12832.0
2015.0,1.0,7.0,2.0,12451.42,12396.0
2015.0,1.0,7.0,3.0,12137.536,12113.0
2015.0,1.0,7.0,4.0,11950.807,12027.0
2015.0,1.0,7.0,5.0,11920.939,12006.0
2015.0,1.0,7.0,6.0,12124.364,12249.0
2015.0,1.0,7.0,7.0,12746.023,12866.0
2015.0,1.0,7.0,8.0,13688.016,13792.0
2015.0,1.0,7.0,9.0,14125.917,14244.0
2015.0,1.0,7.0,10.0,14227.502,14353.0
2015.0,1.0,7.0,11.0,14283.496,14518.0
2015.0,1.0,7.0,12.0,14313.011,14620.0
2015.0,1.0,7.0,13.0,14266.894,14643.0
2015.0,1.0,7.0,14.0,14229.252,14545.0
2015.0,1.0,7.0,15.0,14287.741,14540.0
2015.0,1.0,7.0,16.0,14280.409,14445.0
2015.0,1.0,7.0,17.0,14348.678,14450.0
2015.0,1.0,7.0,18.0,14908.21,14969.0
2015.0,1.0,7.0,19.0,15608.051,15816.0
2015.0,1.0,7.0,20.0,15379.883,15778.0
2015.0,1.0,7.0,21.0,15091.636,15578.0
2015.0,1.0,7.0,22.0,14701.332,15314.0
2015.0,1.0,7.0,23.0,14070.417,14824.0
2015.0,1.0,8.0,0.0,13678.025,14072.0
2015.0,1.0,8.0,1.0,12982.289,13356.0
2015.0,1.0,8.0,2.0,12538.175,12965.0
2015.0,1.0,8.0,3.0,12262.931,12730.0
2015.0,1.0,8.0,4.0,12113.911,12596.0
2015.0,1.0,8.0,5.0,12097.981,12590.0
2015.0,1.0,8.0,6.0,12285.442,12792.0
2015.0,1.0,8.0,7.0,12854.61,13293.0
2015.0,1.0,8.0,8.0,13645.556,14159.0
2015.0,1.0,8.0,9.0,13918.602,14662.0
2015.0,1.0,8.0,10.0,13796.076,14893.0
2015.0,1.0,8.0,11.0,13684.932,15113.0
2015.0,1.0,8.0,12.0,13577.153,15373.0
2015.0,1.0,8.0,13.0,13420.005,15398.0
2015.0,1.0,8.0,14.0,13269.0625,15381.0
2015.0,1.0,8.0,15.0,13218.209,15412.0
2015.0,1.0,8.0,16.0,13059.993,15281.0
2015.0,1.0,8.0,17.0,12976.958,15145.0
2015.0,1.0,8.0,18.0,13464.048,15473.0
2015.0,1.0,8.0,19.0,14144.169,15951.0
2015.0,1.0,8.0,20.0,13988.89,15775.0
2015.0,1.0,8.0,21.0,13748.945,15494.0
2015.0,1.0,8.0,22.0,13523.922,15100.0
2015.0,1.0,8.0,23.0,13025.566,14470.0
2015.0,1.0,9.0,0.0,12957.95,13667.0
2015.0,1.0,9.0,1.0,12214.25,12880.0
2015.0,1.0,9.0,2.0,11739.572,12505.0
2015.0,1.0,9.0,3.0,11452.368,12247.0
2015.0,1.0,9.0,4.0,11287.98,12059.0
2015.0,1.0,9.0,5.0,11270.588,12025.0
2015.0,1.0,9.0,6.0,11468.754,12229.0
2015.0,1.0,9.0,7.0,12043.933,12814.0
2015.0,1.0,9.0,8.0,12937.509,13813.0
2015.0,1.0,9.0,9.0,13380.013,14298.0
2015.0,1.0,9.0,10.0,13508.378,14312.0
2015.0,1.0,9.0,11.0,13590.731,14382.0
2015.0,1.0,9.0,12.0,13680.264,14452.0
2015.0,1.0,9.0,13.0,13709.336,14474.0
2015.0,1.0,9.0,14.0,13753.594,14451.0
2015.0,1.0,9.0,15.0,13844.433,14455.0
2015.0,1.0,9.0,16.0,13833.277,14364.0
2015.0,1.0,9.0,17.0,13899.149,14358.0
2015.0,1.0,9.0,18.0,14367.714,14798.0
2015.0,1.0,9.0,19.0,14921.541,15509.0
2015.0,1.0,9.0,20.0,14630.395,15502.0
2015.0,1.0,9.0,21.0,14317.552,15316.0
2015.0,1.0,9.0,22.0,13951.691,14998.0
2015.0,1.0,9.0,23.0,13435.206,14593.0
2015.0,1.0,10.0,0.0,13281.34,13817.0
2015.0,1.0,10.0,1.0,12562.721,13132.0
2015.0,1.0,10.0,2.0,12045.919,12665.0
2015.0,1.0,10.0,3.0,11728.711,12315.0
2015.0,1.0,10.0,4.0,11544.255,12145.0
2015.0,1.0,10.0,5.0,11483.913,12110.0
2015.0,1.0,10.0,6.0,11573.992,12184.0
2015.0,1.0,10.0,7.0,11874.359,12442.0
2015.0,1.0,10.0,8.0,12324.799,12865.0
2015.0,1.0,10.0,9.0,12556.005,13056.0
2015.0,1.0,10.0,10.0,12657.825,13175.0
2015.0,1.0,10.0,11.0,12734.22,13250.0
2015.0,1.0,10.0,12.0,12726.243,13223.0
2015.0,1.0,10.0,13.0,12614.692,13110.0
2015.0,1.0,10.0,14.0,12426.619,12846.0
2015.0,1.0,10.0,15.0,12205.619,12615.0
2015.0,1.0,10.0,16.0,12042.747,12815.0
2015.0,1.0,10.0,17.0,12015.316,12993.0
2015.0,1.0,10.0,18.0,12476.459,13505.0
2015.0,1.0,10.0,19.0,13256.153,13924.0
2015.0,1.0,10.0,20.0,13366.421,13800.0
2015.0,1.0,10.0,21.0,13104.114,13568.0
2015.0,1.0,10.0,22.0,12978.58,13266.0
2015.0,1.0,10.0,23.0,12740.765,12890.0
2015.0,1.0,11.0,0.0,11813.117,12270.0
2015.0,1.0,11.0,1.0,11196.645,11634.0
2015.0,1.0,11.0,2.0,10743.494,11169.0
2015.0,1.0,11.0,3.0,10446.41,10882.0
2015.0,1.0,11.0,4.0,10272.613,10719.0
2015.0,1.0,11.0,5.0,10205.973,10574.0
2015.0,1.0,11.0,6.0,10237.6,10589.0
2015.0,1.0,11.0,7.0,10419.044,10695.0
2015.0,1.0,11.0,8.0,10712.181,10946.0
2015.0,1.0,11.0,9.0,10748.119,10981.0
2015.0,1.0,11.0,10.0,10758.9375,11142.0
2015.0,1.0,11.0,11.0,10787.188,11241.0
2015.0,1.0,11.0,12.0,10749.063,11293.0
2015.0,1.0,11.0,13.0,10711.096,11220.0
2015.0,1.0,11.0,14.0,10683.585,11239.0
2015.0,1.0,11.0,15.0,10709.6455,11166.0
2015.0,1.0,11.0,16.0,10811.5205,11259.0
2015.0,1.0,11.0,17.0,11054.632,11483.0
2015.0,1.0,11.0,18.0,11643.278,12140.0
2015.0,1.0,11.0,19.0,12482.691,12788.0
2015.0,1.0,11.0,20.0,12715.151,12767.0
2015.0,1.0,11.0,21.0,12599.137,12610.0
2015.0,1.0,11.0,22.0,12356.765,12306.0
2015.0,1.0,11.0,23.0,11966.083,11920.0
2015.0,1.0,12.0,0.0,10966.45,11336.0
2015.0,1.0,12.0,1.0,10287.804,10837.0
2015.0,1.0,12.0,2.0,9817.19,10446.0
2015.0,1.0,12.0,3.0,9515.024,10254.0
2015.0,1.0,12.0,4.0,9343.469,10128.0
2015.0,1.0,12.0,5.0,9309.983,10201.0
2015.0,1.0,12.0,6.0,9513.64,10521.0
2015.0,1.0,12.0,7.0,10134.882,11310.0
2015.0,1.0,12.0,8.0,11066.156,12574.0
2015.0,1.0,12.0,9.0,11445.984,13137.0
2015.0,1.0,12.0,10.0,11486.894,13255.0
2015.0,1.0,12.0,11.0,11519.063,13249.0
2015.0,1.0,12.0,12.0,11570.86,13274.0
2015.0,1.0,12.0,13.0,11603.04,13206.0
2015.0,1.0,12.0,14.0,11625.199,13184.0
2015.0,1.0,12.0,15.0,11698.605,13200.0
2015.0,1.0,12.0,16.0,11676.481,13150.0
2015.0,1.0,12.0,17.0,11712.013,13199.0
2015.0,1.0,12.0,18.0,12173.576,13685.0
2015.0,1.0,12.0,19.0,12692.486,14456.0
2015.0,1.0,12.0,20.0,12607.551,14465.0
2015.0,1.0,12.0,21.0,12368.664,14280.0
2015.0,1.0,12.0,22.0,12063.007,13975.0
2015.0,1.0,12.0,23.0,11618.574,13444.0
2015.0,1.0,13.0,0.0,11300.455,12676.0
2015.0,1.0,13.0,1.0,10588.748,11905.0
2015.0,1.0,13.0,2.0,10135.518,11401.0
2015.0,1.0,13.0,3.0,9882.781,11136.0
2015.0,1.0,13.0,4.0,9770.648,10955.0
2015.0,1.0,13.0,5.0,9806.748,10973.0
2015.0,1.0,13.0,6.0,10104.364,11223.0
2015.0,1.0,13.0,7.0,10882.108,11934.0
2015.0,1.0,13.0,8.0,12082.435,13040.0
2015.0,1.0,13.0,9.0,12662.386,13584.0
2015.0,1.0,13.0,10.0,12748.662,13598.0
2015.0,1.0,13.0,11.0,12756.127,13627.0
2015.0,1.0,13.0,12.0,12762.757,13581.0
2015.0,1.0,13.0,13.0,12690.584,13432.0
2015.0,1.0,13.0,14.0,12574.775,13278.0
2015.0,1.0,13.0,15.0,12521.403,13203.0
2015.0,1.0,13.0,16.0,12382.7295,13071.0
2015.0,1.0,13.0,17.0,12339.378,13041.0
2015.0,1.0,13.0,18.0,12859.363,13464.0
2015.0,1.0,13.0,19.0,13476.333,14360.0
2015.0,1.0,13.0,20.0,13428.057,14363.0
2015.0,1.0,13.0,21.0,13220.848,14213.0
2015.0,1.0,13.0,22.0,12935.042,14002.0
2015.0,1.0,13.0,23.0,12477.973,13512.0
2015.0,1.0,14.0,0.0,11836.396,12799.0
2015.0,1.0,14.0,1.0,10966.387,12123.0
2015.0,1.0,14.0,2.0,10384.111,11726.0
2015.0,1.0,14.0,3.0,10033.754,11513.0
2015.0,1.0,14.0,4.0,9836.514,11433.0
2015.0,1.0,14.0,5.0,9806.007,11459.0
2015.0,1.0,14.0,6.0,10034.257,11719.0
2015.0,1.0,14.0,7.0,10737.732,12417.0
2015.0,1.0,14.0,8.0,11921.627,13533.0
2015.0,1.0,14.0,9.0,12606.154,13994.0
2015.0,1.0,14.0,10.0,12817.789,14026.0
2015.0,1.0,14.0,11.0,12947.172,14054.0
2015.0,1.0,14.0,12.0,13039.389,13964.0
2015.0,1.0,14.0,13.0,13020.969,13737.0
2015.0,1.0,14.0,14.0,12970.579,13629.0
2015.0,1.0,14.0,15.0,12959.396,13544.0
2015.0,1.0,14.0,16.0,12864.84,13453.0
2015.0,1.0,14.0,17.0,12862.237,13360.0
2015.0,1.0,14.0,18.0,13342.508,13757.0
2015.0,1.0,14.0,19.0,13915.484,14551.0
2015.0,1.0,14.0,20.0,13829.75,14490.0
2015.0,1.0,14.0,21.0,13507.104,14341.0
2015.0,1.0,14.0,22.0,13204.919,14034.0
2015.0,1.0,14.0,23.0,12714.862,13496.0
2015.0,1.0,15.0,0.0,12202.564,12702.0
2015.0,1.0,15.0,1.0,11447.31,11938.0
2015.0,1.0,15.0,2.0,10974.215,11470.0
2015.0,1.0,15.0,3.0,10702.447,11191.0
2015.0,1.0,15.0,4.0,10567.001,11018.0
2015.0,1.0,15.0,5.0,10582.267,11043.0
2015.0,1.0,15.0,6.0,10850.941,11248.0
2015.0,1.0,15.0,7.0,11596.854,11908.0
2015.0,1.0,15.0,8.0,12742.181,13003.0
2015.0,1.0,15.0,9.0,13242.018,13472.0
2015.0,1.0,15.0,10.0,13195.722,13551.0
2015.0,1.0,15.0,11.0,13089.6875,13527.0
2015.0,1.0,15.0,12.0,12988.562,13294.0
2015.0,1.0,15.0,13.0,12814.065,13027.0
2015.0,1.0,15.0,14.0,12639.234,12822.0
2015.0,1.0,15.0,15.0,12574.407,12732.0
2015.0,1.0,15.0,16.0,12452.886,12552.0
2015.0,1.0,15.0,17.0,12455.557,12461.0
2015.0,1.0,15.0,18.0,12965.734,12870.0
2015.0,1.0,15.0,19.0,13708.259,13742.0
2015.0,1.0,15.0,20.0,13833.4375,13690.0
2015.0,1.0,15.0,21.0,13658.324,13521.0
2015.0,1.0,15.0,22.0,13377.269,13220.0
2015.0,1.0,15.0,23.0,12894.862,12674.0
2015.0,1.0,16.0,0.0,12194.083,11912.0
2015.0,1.0,16.0,1.0,11410.595,11197.0
2015.0,1.0,16.0,2.0,10907.23,10753.0
2015.0,1.0,16.0,3.0,10595.973,10518.0
2015.0,1.0,16.0,4.0,10435.848,10394.0
2015.0,1.0,16.0,5.0,10414.347,10404.0
2015.0,1.0,16.0,6.0,10635.855,10645.0
2015.0,1.0,16.0,7.0,11291.22,11324.0
2015.0,1.0,16.0,8.0,12386.506,12351.0
2015.0,1.0,16.0,9.0,12938.082,12839.0
2015.0,1.0,16.0,10.0,13004.801,12916.0
2015.0,1.0,16.0,11.0,13037.769,12890.0
2015.0,1.0,16.0,12.0,13071.232,12732.0
2015.0,1.0,16.0,13.0,13009.806,12540.0
2015.0,1.0,16.0,14.0,12914.077,12389.0
2015.0,1.0,16.0,15.0,12881.0205,12341.0
2015.0,1.0,16.0,16.0,12789.51,12214.0
2015.0,1.0,16.0,17.0,12790.211,12147.0
2015.0,1.0,16.0,18.0,13233.935,12506.0
2015.0,1.0,16.0,19.0,13892.835,13314.0
2015.0,1.0,16.0,20.0,13959.25,13266.0
2015.0,1.0,16.0,21.0,13654.51,13099.0
2015.0,1.0,16.0,22.0,13327.208,12773.0
2015.0,1.0,16.0,23.0,12844.782,12442.0
2015.0,1.0,17.0,0.0,13223.911,11746.0
2015.0,1.0,17.0,1.0,12559.267,11096.0
2015.0,1.0,17.0,2.0,12072.373,10581.0
2015.0,1.0,17.0,3.0,11763.929,10301.0
2015.0,1.0,17.0,4.0,11588.036,10088.0
2015.0,1.0,17.0,5.0,11528.064,9995.0
2015.0,1.0,17.0,6.0,11618.066,9998.0
2015.0,1.0,17.0,7.0,11934.105,10281.0
2015.0,1.0,17.0,8.0,12478.012,10666.0
2015.0,1.0,17.0,9.0,12828.435,10899.0
2015.0,1.0,17.0,10.0,13059.68,11016.0
2015.0,1.0,17.0,11.0,13305.086,11060.0
2015.0,1.0,17.0,12.0,13449.063,11082.0
2015.0,1.0,17.0,13.0,13442.555,11015.0
2015.0,1.0,17.0,14.0,13334.002,10882.0
2015.0,1.0,17.0,15.0,13106.9,10664.0
2015.0,1.0,17.0,16.0,12891.437,10627.0
2015.0,1.0,17.0,17.0,12781.169,10731.0
2015.0,1.0,17.0,18.0,13149.958,11150.0
2015.0,1.0,17.0,19.0,13876.761,11804.0
2015.0,1.0,17.0,20.0,13889.061,11789.0
2015.0,1.0,17.0,21.0,13583.342,11606.0
2015.0,1.0,17.0,22.0,13371.115,11455.0
2015.0,1.0,17.0,23.0,13044.481,11102.0
2015.0,1.0,18.0,0.0,12855.366,10646.0
2015.0,1.0,18.0,1.0,12324.675,10110.0
2015.0,1.0,18.0,2.0,11926.387,9735.0
2015.0,1.0,18.0,3.0,11664.45,9421.0
2015.0,1.0,18.0,4.0,11508.589,9293.0
2015.0,1.0,18.0,5.0,11441.484,9195.0
2015.0,1.0,18.0,6.0,11454.743,9232.0
2015.0,1.0,18.0,7.0,11580.096,9378.0
2015.0,1.0,18.0,8.0,11831.058,9658.0
2015.0,1.0,18.0,9.0,11908.28,9806.0
2015.0,1.0,18.0,10.0,12069.605,10050.0
2015.0,1.0,18.0,11.0,12289.233,10189.0
2015.0,1.0,18.0,12.0,12425.631,10253.0
2015.0,1.0,18.0,13.0,12477.684,10240.0
2015.0,1.0,18.0,14.0,12441.708,10159.0
2015.0,1.0,18.0,15.0,12329.937,10009.0
2015.0,1.0,18.0,16.0,12240.169,9991.0
2015.0,1.0,18.0,17.0,12238.101,9980.0
2015.0,1.0,18.0,18.0,12546.55,10449.0
2015.0,1.0,18.0,19.0,13369.3955,11313.0
2015.0,1.0,18.0,20.0,13613.792,11476.0
2015.0,1.0,18.0,21.0,13379.722,11384.0
2015.0,1.0,18.0,22.0,13041.921,11258.0
2015.0,1.0,18.0,23.0,12621.705,10923.0
2015.0,1.0,19.0,0.0,11745.915,10522.0
2015.0,1.0,19.0,1.0,11019.659,10009.0
2015.0,1.0,19.0,2.0,10547.286,9766.0
2015.0,1.0,19.0,3.0,10254.844,9555.0
2015.0,1.0,19.0,4.0,10091.247,9530.0
2015.0,1.0,19.0,5.0,10063.583,9560.0
2015.0,1.0,19.0,6.0,10278.536,9915.0
2015.0,1.0,19.0,7.0,10883.7,10548.0
2015.0,1.0,19.0,8.0,11907.909,11489.0
2015.0,1.0,19.0,9.0,12390.946,11903.0
2015.0,1.0,19.0,10.0,12424.363,11954.0
2015.0,1.0,19.0,11.0,12434.064,11889.0
2015.0,1.0,19.0,12.0,12471.441,11887.0
2015.0,1.0,19.0,13.0,12443.116,11823.0
2015.0,1.0,19.0,14.0,12396.439,11724.0
2015.0,1.0,19.0,15.0,12411.045,11733.0
2015.0,1.0,19.0,16.0,12356.412,11709.0
2015.0,1.0,19.0,17.0,12346.407,11828.0
2015.0,1.0,19.0,18.0,12599.818,12279.0
2015.0,1.0,19.0,19.0,13120.313,12889.0
2015.0,1.0,19.0,20.0,13228.12,12779.0
2015.0,1.0,19.0,21.0,12966.168,12555.0
2015.0,1.0,19.0,22.0,12650.785,12255.0
2015.0,1.0,19.0,23.0,12225.687,11744.0
2015.0,1.0,20.0,0.0,11813.502,11012.0
2015.0,1.0,20.0,1.0,11117.312,10345.0
2015.0,1.0,20.0,2.0,10683.858,9908.0
2015.0,1.0,20.0,3.0,10453.251,9653.0
2015.0,1.0,20.0,4.0,10348.344,9504.0
2015.0,1.0,20.0,5.0,10389.664,9523.0
2015.0,1.0,20.0,6.0,10702.407,9786.0
2015.0,1.0,20.0,7.0,11494.142,10559.0
2015.0,1.0,20.0,8.0,12790.444,11667.0
2015.0,1.0,20.0,9.0,13408.335,12236.0
2015.0,1.0,20.0,10.0,13401.987,12234.0
2015.0,1.0,20.0,11.0,13353.226,12262.0
2015.0,1.0,20.0,12.0,13324.304,12359.0
2015.0,1.0,20.0,13.0,13242.0625,12362.0
2015.0,1.0,20.0,14.0,13174.217,12345.0
2015.0,1.0,20.0,15.0,13221.823,12356.0
2015.0,1.0,20.0,16.0,13177.0625,12335.0
2015.0,1.0,20.0,17.0,13217.717,12435.0
2015.0,1.0,20.0,18.0,13718.605,12897.0
2015.0,1.0,20.0,19.0,14414.369,13258.0
2015.0,1.0,20.0,20.0,14536.836,13107.0
2015.0,1.0,20.0,21.0,14312.007,12901.0
2015.0,1.0,20.0,22.0,13970.696,12604.0
2015.0,1.0,20.0,23.0,13464.814,12065.0
2015.0,1.0,21.0,0.0,12554.773,11279.0
2015.0,1.0,21.0,1.0,11757.492,10546.0
2015.0,1.0,21.0,2.0,11246.205,10079.0
2015.0,1.0,21.0,3.0,10951.506,9814.0
2015.0,1.0,21.0,4.0,10792.42,9681.0
2015.0,1.0,21.0,5.0,10783.3,9672.0
2015.0,1.0,21.0,6.0,11030.047,9941.0
2015.0,1.0,21.0,7.0,11712.372,10670.0
2015.0,1.0,21.0,8.0,12885.686,11836.0
2015.0,1.0,21.0,9.0,13504.981,12495.0
