year,month,day,hour,y_hat,y
2015.0,1.0,5.0,4.0,2836.0078,3086.0
2015.0,1.0,5.0,5.0,2871.9792,3189.0
2015.0,1.0,5.0,6.0,3001.7412,3410.0
2015.0,1.0,5.0,7.0,3217.8584,3801.0
2015.0,1.0,5.0,8.0,3347.9768,4018.0
2015.0,1.0,5.0,9.0,3343.423,4007.0
2015.0,1.0,5.0,10.0,3328.1313,3949.0
2015.0,1.0,5.0,11.0,3315.3687,3940.0
2015.0,1.0,5.0,12.0,3267.1165,3909.0
2015.0,1.0,5.0,13.0,3213.5798,3822.0
2015.0,1.0,5.0,14.0,3162.0247,3772.0
2015.0,1.0,5.0,15.0,3110.6775,3716.0
2015.0,1.0,5.0,16.0,3077.7793,3756.0
2015.0,1.0,5.0,17.0,3077.9246,3873.0
2015.0,1.0,5.0,18.0,3189.4265,4061.0
2015.0,1.0,5.0,19.0,3284.4275,4141.0
2015.0,1.0,5.0,20.0,3308.2773,4115.0
2015.0,1.0,5.0,21.0,3257.1328,4040.0
2015.0,1.0,5.0,22.0,3182.323,3908.0
2015.0,1.0,5.0,23.0,3045.856,3692.0
2015.0,1.0,6.0,0.0,3252.3755,3514.0
2015.0,1.0,6.0,1.0,3121.613,3362.0
2015.0,1.0,6.0,2.0,3059.8396,3311.0
2015.0,1.0,6.0,3.0,3036.8984,3266.0
2015.0,1.0,6.0,4.0,3049.489,3245.0
2015.0,1.0,6.0,5.0,3128.1772,3274.0
2015.0,1.0,6.0,6.0,3302.3545,3461.0
2015.0,1.0,6.0,7.0,3549.6091,3722.0
2015.0,1.0,6.0,8.0,3713.8313,3889.0
2015.0,1.0,6.0,9.0,3756.3286,3853.0
2015.0,1.0,6.0,10.0,3812.9443,3830.0
2015.0,1.0,6.0,11.0,3885.093,3830.0
2015.0,1.0,6.0,12.0,3912.9695,3776.0
2015.0,1.0,6.0,13.0,3931.6716,3738.0
2015.0,1.0,6.0,14.0,3950.3691,3736.0
2015.0,1.0,6.0,15.0,3950.9612,3696.0
2015.0,1.0,6.0,16.0,3971.4011,3700.0
2015.0,1.0,6.0,17.0,4020.8088,3761.0
2015.0,1.0,6.0,18.0,4212.9785,3961.0
2015.0,1.0,6.0,19.0,4317.361,4081.0
2015.0,1.0,6.0,20.0,4312.514,4041.0
2015.0,1.0,6.0,21.0,4241.941,4011.0
2015.0,1.0,6.0,22.0,4105.851,3897.0
2015.0,1.0,6.0,23.0,3875.3906,3741.0
2015.0,1.0,7.0,0.0,3674.4546,3557.0
2015.0,1.0,7.0,1.0,3555.7246,3455.0
2015.0,1.0,7.0,2.0,3506.0085,3391.0
2015.0,1.0,7.0,3.0,3484.5352,3377.0
2015.0,1.0,7.0,4.0,3504.8477,3405.0
2015.0,1.0,7.0,5.0,3591.6672,3490.0
2015.0,1.0,7.0,6.0,3782.651,3682.0
2015.0,1.0,7.0,7.0,4073.189,4035.0
2015.0,1.0,7.0,8.0,4209.791,4286.0
2015.0,1.0,7.0,9.0,4125.505,4291.0
2015.0,1.0,7.0,10.0,3981.7827,4302.0
2015.0,1.0,7.0,11.0,3838.8015,4231.0
2015.0,1.0,7.0,12.0,3675.5059,4198.0
2015.0,1.0,7.0,13.0,3524.5264,4176.0
2015.0,1.0,7.0,14.0,3407.486,4159.0
2015.0,1.0,7.0,15.0,3301.407,4142.0
2015.0,1.0,7.0,16.0,3229.8464,4186.0
2015.0,1.0,7.0,17.0,3231.1125,4288.0
