ds,y,yhat,yhat_lower,yhat_upper,adjusted_y,adjusted_y_lower,adjusted_y_upper,p_value_adj,p_value
2015-01-01 00:00:00,3262.0,3118.9561110193986,2689.130418605794,3553.068052134227,3118.9905965004327,2689.1649040868283,3553.102537615261,0.4999598061111781,0.6643549671320811
2015-01-01 01:00:00,3150.0,2938.699226893555,2513.6881927115664,3361.70619781386,2938.7012474880157,2513.690213306027,3361.7082184083206,0.4999976241053485,0.7384742832007287
2015-01-01 02:00:00,3113.0,2794.9283787412155,2384.579942103602,3210.491795930061,2795.1697711570814,2384.821334519468,3210.733188345927,0.4997187174594363,0.8382010477830536
2015-01-01 03:00:00,3036.0,2707.037632375546,2255.0126574935734,3138.831154232806,2707.0860652230685,2255.061090341096,3138.8795870803287,0.49994344115928363,0.829958645175214
2015-01-01 04:00:00,3023.0,2689.064297100572,2256.0455469387207,3124.9234021593647,2688.9337266462717,2255.9149764844205,3124.7928317050646,0.5001530136560223,0.8377068904614926
2015-01-01 05:00:00,3039.0,2746.2983350927857,2295.6903196574203,3169.606992261276,2745.733975983719,2295.1259605483538,3169.0426331522094,0.5006593605265525,0.8046813920729882
2015-01-01 06:00:00,3084.0,2867.8644957742163,2452.826509639411,3286.2213848593296,2867.5930524851824,2452.5550663503773,3285.949941570296,0.5003179520994702,0.7468864846477017
2015-01-01 07:00:00,3149.0,3024.2635968586837,2579.676958647402,3486.222744417464,3023.978011066749,2579.391372855467,3485.9371586255293,0.5003323734749345,0.6378323893278635
2015-01-01 08:00:00,3183.0,3176.984908071095,2749.491184635073,3600.210515010022,3176.7764966851055,2749.282773249083,3600.0021036240323,0.5002428811074118,0.5072295013443456
2015-01-01 09:00:00,3167.0,3296.386855414718,2853.687432518671,3705.5024920565606,3296.1957763151404,2853.4963534190933,3705.311412956983,0.50022303693706,0.3485183256697063
2015-01-01 10:00:00,3184.0,3374.856214639706,2963.9505968730336,3847.122228129476,3374.63923463404,2963.7336168673673,3846.9052481238095,0.500253511719696,0.28982542697054375
2015-01-01 11:00:00,3207.0,3424.7127681648917,2958.219528709856,3871.6992887289357,3424.715244516346,2958.2220050613105,3871.70176508039,0.49999710646325546,0.27064177373190845
2015-01-01 12:00:00,3160.0,3463.108715857349,3018.13380521333,3907.7315251095583,3463.136752223236,3018.161841579217,3907.759561475445,0.49996724854881114,0.19124574447338522
2015-01-01 13:00:00,3139.0,3497.438792602251,3030.7122927592295,3932.0460755882686,3497.338063431968,3030.6115635889464,3931.9453464179855,0.5001178101956617,0.15403395033546163
2015-01-01 14:00:00,3055.0,3523.5970208101107,3096.789947644744,3977.259704301669,3523.4582470545474,3096.651173889181,3977.1209305461057,0.500162517680827,0.08626559985235094
2015-01-01 15:00:00,2992.0,3536.689973711886,3124.3693140284395,3994.7838008078725,3536.79118809364,3124.4705284101933,3994.8850151896263,0.49988178869507555,0.05436313724058614
