ds,y,yhat,yhat_lower,yhat_upper,adjusted_y,adjusted_y_lower,adjusted_y_upper,p_value_adj,p_value,h_ahead
2017-10-01 00:00:00,2217.0,3014.3821270762446,2497.7991342571804,3569.103517702492,2120.3854786777874,1603.8024858587232,2675.1068693040347,0.9865909001228799,0.028212269554659337,0
2017-10-01 01:00:00,2073.0,2841.4207505539366,2352.9923626968475,3364.626378874234,1953.3006644807956,1464.8722766237065,2476.506292801093,0.9857431029041591,0.02577387405781387,1
2017-10-01 02:00:00,1967.0,2704.3255261229688,2202.8084360471457,3190.417809014461,1819.3495052522387,1317.8324151764157,2305.441788143731,0.9853890462750292,0.027838745676569836,2
2017-10-01 03:00:00,1924.0,2620.2645079460135,2106.5688613636316,3111.860074502832,1729.5052260710181,1215.8095794886362,2221.1007926278367,0.9857549149843428,0.03793204255855549,3
2017-10-01 04:00:00,1906.0,2603.194331792855,2074.3765439372414,3116.4179288976475,1698.1888318993329,1169.3710440437194,2211.4124290041254,0.9872817086548944,0.04318317122541878,4
2017-10-01 05:00:00,1906.0,2659.6680369787086,2128.253089149713,3177.0317137853467,1782.5349658030905,1251.120017974095,2299.8986426097285,0.9850174912227548,0.032746036224548046,5
2017-10-01 06:00:00,1925.0,2780.033007849143,2236.684469470279,3274.7347941532776,1878.8561601126225,1335.5076217337587,2373.557946416757,0.987088457886147,0.017377316845890643,6
2017-10-01 07:00:00,1980.0,2935.348239188963,2393.9337650756765,3467.0022595128844,2024.716914563965,1483.3024404506787,2556.3709348878865,0.987140674742066,0.011247042799108351,7
2017-10-01 08:00:00,2040.0,3087.4240822537477,2550.5003430854154,3571.742953973091,2216.7864637221887,1679.8627245538564,2701.105335441532,0.9840325557310438,0.004284172026073664,8
2017-10-01 09:00:00,2133.0,3207.3182745050713,2704.7588676882065,3754.9933580609827,2294.9129729171173,1792.3535661002525,2842.5880564730287,0.9879141005776463,0.004372314086741587,9
2017-10-01 10:00:00,2225.0,3288.358108618397,2757.8916236504597,3805.664073614033,2383.81388696338,1853.3474019954424,2901.1198519590157,0.9870282258913882,0.004644515833282023,10
2017-10-01 11:00:00,2329.0,3343.204841330867,2845.2220344995944,3848.4982376709368,2475.2952858079047,1977.312478976632,2980.5886821479744,0.9835502300987946,0.004784556364687642,11
2017-10-01 12:00:00,2375.0,3388.1804073976427,2872.0241959665873,3890.3500695767393,2504.9679593911633,1988.811747960108,3007.1376215702603,0.9849349363814812,0.00538379642012976,12
2017-10-01 13:00:00,2401.0,3429.1606484756753,2868.4646672562776,3909.631272409644,2543.860503506,1983.1645222866023,3024.331127439969,0.9853063721915427,0.005685505091295768,13
2017-10-01 14:00:00,2444.0,3461.0340194240416,2927.348147297871,3962.269345399895,2552.2768326605938,2018.5909605344232,3053.512158636447,0.98746649260497,0.005887718497619331,14
2017-10-01 15:00:00,2458.0,3479.13325512992,2927.226585154045,4007.277682752416,2603.42378342715,2051.517113451275,3131.5682110496455,0.9844963205136714,0.007690462247756148,15
2017-10-01 16:00:00,2514.0,3489.331817386956,2990.076260669506,3979.324147335104,2615.261297661119,2116.005740943669,3105.253627609267,0.9843378801379068,0.0057513032419473755,16
2017-10-01 17:00:00,2591.0,3505.0840947915112,2972.4358878248236,4021.9077591932155,2640.090599364106,2107.442392397418,3156.91426376581,0.9829294725159611,0.012792670822188651,17
2017-10-01 18:00:00,2637.0,3533.0434667959885,3022.415003907447,4088.557289990094,2649.8862318264537,2139.2577689379123,3205.400055020559,0.9850033367502387,0.015613418103701903,18
2017-10-01 19:00:00,2652.0,3560.9607274156842,3063.9127584039993,4076.2947463515966,2639.2317101010594,2142.183741089375,3154.565729036972,0.9884898550528096,0.01068830466527453,19
2017-10-01 20:00:00,2713.0,3560.512758608514,3009.964939906292,4048.3355885068077,2675.5294355370697,2124.9816168348475,3163.3522654353633,0.985586479162249,0.018219636548475596,20
2017-10-01 21:00:00,2756.0,3504.4444465258516,2977.925603526847,4016.530518020511,2588.720288549721,2062.201445550716,3100.80636004438,0.9879881212858996,0.032370986760288996,21
2017-10-01 22:00:00,2611.0,3384.5853061041607,2850.7224130088275,3893.993913566138,2489.3143262696267,1955.4514331742937,2998.722933731604,0.9860575474352685,0.02868116413582687,22
2017-10-01 23:00:00,2434.0,3216.923519304434,2701.766178724215,3735.530318493422,2330.7906754344876,1815.6333348542685,2849.3974746234753,0.9856123858424743,0.026118725441477485,23
2017-10-02 00:00:00,2253.0,3012.9521806895036,2495.623563537538,3505.8478584608515,2476.565718507408,1959.2371013554418,2969.4613962787553,0.9056342999530529,0.02691996882404736,0
2017-10-02 01:00:00,2119.0,2840.9787230491247,2343.2467831606004,3370.319019859447,2329.0545079357203,1831.3225680471958,2858.3948047460426,0.8967645191773036,0.035794019527219244,1
2017-10-02 02:00:00,2048.0,2704.7185558919796,2187.320085845634,3204.4786999830126,2181.9274940326095,1664.529023986264,2681.6876381236425,0.9013847657897623,0.048978216956147125,2
2017-10-02 03:00:00,2005.0,2621.3245698583733,2082.5925638740714,3128.334651771957,2085.9378019862756,1547.2057960019738,2592.9478838998593,0.9047858121260651,0.06544453429187538,3
2017-10-02 04:00:00,1987.0,2604.734921247697,2121.8276989167243,3126.6615377778426,2084.9410802563707,1602.0338579253978,2606.867696786516,0.9002426369747578,0.05754729161410349,4
2017-10-02 05:00:00,1979.0,2661.493439515018,2165.656807382332,3142.020322884165,2141.428033389883,1645.5914012571966,2621.95491675903,0.8998646266934569,0.03659457519892344,5
