ds,y,yhat,yhat_lower,yhat_upper,adjusted_y,adjusted_y_lower,adjusted_y_upper,p_value_adj,p_value,h_ahead
2017-10-01 00:00:00,2217.0,2721.524008815075,2241.707429611516,3163.752775476259,2065.1471206515316,1585.3305414479728,2507.375887312716,0.9581680687837684,0.0803864794001552,0
2017-10-01 01:00:00,2073.0,2545.1575048736977,2088.809423620407,3061.9906757495924,1897.9152214914411,1441.5671402381504,2414.748392367336,0.9553932165793944,0.10683472678344408,1
2017-10-01 02:00:00,1967.0,2405.7262196218385,1921.3695143739594,2907.2194031057356,1760.0190536243554,1275.6623483764763,2261.5122371082525,0.9549888653663626,0.12700972804829191,2
2017-10-01 03:00:00,1924.0,2320.4971102170375,1863.293906884205,2840.463793991244,1673.8589177621689,1216.6557144293363,2193.8256015363754,0.9557655379219938,0.1491684521800719,3
2017-10-01 04:00:00,1906.0,2303.4867670232297,1836.0967821420525,2797.5486609823174,1622.898598860998,1155.5086139798207,2116.9604928200856,0.9630827606541981,0.14465261665832413,4
2017-10-01 05:00:00,1906.0,2361.2354366821214,1872.7248938991029,2839.940735477627,1719.0130978608922,1230.5025550778737,2197.718396656398,0.9548773507370598,0.11383838568975596,5
2017-10-01 06:00:00,1925.0,2484.0236219630633,1995.546551887257,2957.9656934800896,1828.2940412740422,1339.816971198236,2302.2361127910685,0.9570240720963862,0.06827199481609089,6
2017-10-01 07:00:00,1980.0,2642.8447296312606,2138.2053500585725,3108.289927378934,1989.003958816988,1484.3645792442999,2454.4491565646613,0.956984887866722,0.03994443687221158,7
2017-10-01 08:00:00,2040.0,2799.4886820297043,2321.200350694277,3256.555281928433,2160.8985660382914,1682.6102347028643,2617.96516593702,0.9539675468566408,0.01870843094517535,8
2017-10-01 09:00:00,2133.0,2925.0339948051787,2437.5802589590257,3387.894802016411,2291.809715899386,1804.3559800532328,2754.670523110618,0.9514184697176798,0.016331434053234128,9
2017-10-01 10:00:00,2225.0,3012.8263450996624,2523.183270403218,3508.06103273174,2348.531841359931,1858.8887666634869,2843.7665289920087,0.9590244239032222,0.02016831032845515,10
2017-10-01 11:00:00,2329.0,3075.502478722534,2606.031210187697,3541.9547695389942,2436.696010821309,1967.2247422864718,2903.148301637769,0.9542530412299403,0.020459095342214184,11
2017-10-01 12:00:00,2375.0,3129.315248410145,2653.102511643302,3619.0664245872736,2478.851921108444,2002.6391843416009,2968.6030972855724,0.9565092805293937,0.022668653727178644,12
2017-10-01 13:00:00,2401.0,3180.060168382336,2712.914201519378,3688.520208629832,2543.1057283055306,2075.9597614425725,3051.5657685530264,0.9535090199844272,0.02034182399792351,13
2017-10-01 14:00:00,2444.0,3222.5662014493973,2741.5695347797405,3731.1605776056763,2573.166196690122,2092.169530020465,3081.760572846401,0.9564395916149194,0.02187200494939815,14
2017-10-01 15:00:00,2458.0,3252.127347826206,2794.7195642029146,3735.5341784241705,2604.7013218553666,2147.2935382320757,3088.108152453331,0.9553708417633909,0.015252275339208228,15
2017-10-01 16:00:00,2514.0,3274.5711324371646,2754.370587537728,3745.5078633707335,2616.8621120741172,2096.6615671746804,3087.7988430076857,0.9570014573652242,0.02460002625922206,16
2017-10-01 17:00:00,2591.0,3303.275328510211,2821.894399180063,3806.4668705911927,2675.941757003189,2194.560827673042,3179.133299084171,0.9516510884673915,0.03185230948519089,17
2017-10-01 18:00:00,2637.0,3344.7923543146976,2853.2498579680455,3843.4900550563625,2699.8583199495124,2208.3158236028603,3198.5560206911773,0.9541889955248201,0.033473847840531236,18
2017-10-01 19:00:00,2652.0,3386.7758575542757,2945.929183538914,3871.798833430452,2733.490094064243,2292.643420048881,3218.513069940419,0.9567044738219063,0.020971037548077335,19
2017-10-01 20:00:00,2713.0,3400.827556809154,2914.5822256426773,3894.4705498597195,2757.5124721717184,2271.2671410052417,3251.155465222284,0.9544689600896412,0.03599692244885733,20
2017-10-01 21:00:00,2756.0,3359.6264954049634,2894.327104305483,3869.234196725898,2701.9749771114134,2236.675586011933,3211.582678432348,0.9580421957937244,0.056258714646031736,21
2017-10-01 22:00:00,2611.0,3254.915785509542,2816.349814511911,3761.7614383382966,2604.4805849594254,2165.9146139617947,3111.32623778818,0.9566792357698708,0.04042993902305653,22
2017-10-01 23:00:00,2434.0,3102.564530496306,2622.701769207369,3625.5528265108205,2426.9683702455886,1947.1056089566518,2949.9566662601032,0.9623723935641125,0.04375065772442001,23
2017-10-02 00:00:00,2253.0,2917.464108008649,2460.721795863429,3422.3351398896075,2350.089775459094,1893.3474633138744,2854.9608073400527,0.9308619916889014,0.038274056336180196,0
2017-10-02 01:00:00,2119.0,2760.86574250579,2272.2222138770835,3231.9497527587173,2203.2609229368923,1714.6173943081858,2674.3449331898196,0.9298451167799412,0.04324569942895959,1
2017-10-02 02:00:00,2048.0,2639.8585935257697,2174.9002167632007,3171.597876583461,2057.1884140179327,1592.2300372553636,2588.927697075624,0.9363476274759353,0.06400192888740198,2
2017-10-02 03:00:00,2005.0,2571.5862742629215,2107.618765377365,3066.4191699008666,2005.4383868972761,1541.4708780117196,2500.271282535221,0.9318878411282332,0.06493422845743796,3
