ds,y,yhat,yhat_lower,yhat_upper,adjusted_y,adjusted_y_lower,adjusted_y_upper,p_value_adj,p_value,h_ahead
2016-10-01 00:00:00,1549.0,2223.1607286840463,1778.5089892589851,2637.287223274936,1535.9147857265953,1091.2630463015344,1950.041280317485,0.9754589445130691,0.022104956685385452,0
2016-10-01 01:00:00,1443.0,2223.21074159887,1774.2846820321465,2680.7689110457177,1555.4286153296034,1106.50255576288,2012.9867847764513,0.9722317660768066,0.013689822373507817,1
2016-10-01 02:00:00,1369.0,2223.2607545136934,1784.8775167955494,2690.9604630169542,1537.9756953005192,1099.5924575823751,2005.67540380378,0.9748021681012059,0.007835049934374156,2
2016-10-01 03:00:00,1326.0,2223.3107674285166,1777.6535119678488,2652.5306016399636,1517.8449544366163,1072.1876989759485,1947.0647886480633,0.978447869862207,0.004284003689818301,3
2016-10-01 04:00:00,1309.0,2223.36078034334,1755.2259957357976,2675.886272640645,1543.4908431947865,1075.3560585872442,1996.0163354920915,0.9745442911305269,0.005455045679542095,4
2016-10-01 05:00:00,1308.0,2223.4107932581637,1815.36363145583,2655.2053994663434,1534.7534561774867,1126.706294375153,1966.5480623856663,0.9763129378287999,0.002605187275803447,5
2016-10-01 06:00:00,1331.0,2223.4608061729873,1762.8505678638983,2699.6276221847997,1535.9083842437713,1075.298145934682,2012.0752002555837,0.9758415673436953,0.007306107480789628,6
2016-10-01 07:00:00,1394.0,2223.5108190878104,1770.5464570305646,2713.2023903608333,1527.295269643961,1074.3309075867155,2016.986840916984,0.9768070445121607,0.012052267534089244,7
2016-10-01 08:00:00,1475.0,2223.5608320026345,1728.7394300559613,2684.42009746004,1537.6589958693771,1042.837593922704,1998.5182613267825,0.9750997927829677,0.022342122513093077,8
2016-10-01 09:00:00,1540.0,2223.6108449174576,1761.2707942531285,2658.5092058993855,1537.829351533694,1075.489300869365,1972.727712515622,0.9758716186348735,0.025419144002784583,9
2016-10-01 10:00:00,1608.0,2223.660857832281,1776.6241545296518,2670.3375714207273,1520.954668887048,1073.9179655844187,1967.631382475494,0.9775312075142798,0.03872567973059791,10
2016-10-01 11:00:00,1646.0,2223.7108707471048,1763.585083918803,2682.2391822612612,1517.968856548011,1057.8430697197093,1976.4971680621675,0.978486042731564,0.05349730028757395,11
2016-10-01 12:00:00,1656.0,2223.7608836619283,1766.1732551564464,2655.097817181136,1523.7844619249445,1066.1968334194626,1955.1213954441523,0.9773778544512155,0.05080816110596416,12
2016-10-01 13:00:00,1649.0,2223.8108965767515,1783.9523267690095,2671.7662766800777,1522.3735439342772,1082.5149741265352,1970.3289240376034,0.9776636705830508,0.048510674649360076,13
2016-10-01 14:00:00,1640.0,2223.8609094915755,1787.7662416352903,2697.448786553603,1549.3988149687766,1113.3041471124914,2022.986692030804,0.9732982356281932,0.049977205271111796,14
2016-10-01 15:00:00,1628.0,2223.9109224063986,1781.5801647903022,2661.886892374389,1509.8311500798764,1067.50039246378,1947.8071200478666,0.9794093200232855,0.04136547540291921,15
2016-10-01 16:00:00,1615.0,2223.960935321222,1794.71533389596,2670.508259057224,1527.4577297030542,1098.2121282777916,1974.0050534390562,0.9777279681562299,0.03735909980615503,16
2016-10-01 17:00:00,1614.0,2224.010948236046,1804.9048503916276,2672.5127196011404,1533.0834703852195,1113.9773725408013,1981.585241750314,0.9763484608936364,0.0357643989751384,17
2016-10-01 18:00:00,1607.0,2224.0609611508694,1791.4380500697562,2661.046139590668,1538.9996566234502,1106.376745542337,1975.984835063249,0.9752476300937039,0.03447556489463535,18
2016-10-01 19:00:00,1593.0,2224.110974065693,1768.5004157115093,2678.2771667202514,1513.1311047126069,1057.5205463584234,1967.2972973671654,0.9788045792548133,0.03770017182044927,19
2016-10-01 20:00:00,1650.0,2224.1609869805166,1783.132857826006,2667.00877965722,1542.8482571064058,1101.8201279518953,1985.6960497831094,0.9747066951270897,0.04795858845855405,20
2016-10-01 21:00:00,1666.0,2224.21099989534,1741.0222202265425,2685.066364230303,1529.3067631933845,1046.1179835245869,1990.1621275283474,0.9772887017588688,0.06481575028613301,21
2016-10-01 22:00:00,1609.0,2224.2610128101633,1779.8689986131874,2676.779926134246,1529.7272283995258,1085.3352142025497,1982.2461417236086,0.9771242767272096,0.03935402746930601,22
2016-10-01 23:00:00,1531.0,2224.311025724987,1780.3250798079227,2652.570128992076,1533.0339420770065,1089.0479961599422,1961.2930453440958,0.9763666864668831,0.020809831906062212,23
2016-10-02 00:00:00,1436.0,2214.7982818965843,1743.3204726867373,2664.3787698301107,1507.0028672350372,1035.5250580251904,1956.5833551685637,0.9782674885244383,0.015108861485326827,0
2016-10-02 01:00:00,1359.0,2214.8461515834774,1789.3172239999478,2678.757479741261,1501.6240146676055,1076.0950870840759,1965.5353428253889,0.9796899047213183,0.0068259446628123055,1
2016-10-02 02:00:00,1302.0,2214.894021270371,1803.5762111399,2632.0248912633037,1518.483262129675,1107.165451999204,1935.6141321226078,0.9771454711779918,0.0023687194386006645,2
2016-10-02 03:00:00,1279.0,2214.941890957264,1765.721945604735,2670.849046520031,1518.963287332554,1069.743341980025,1974.870442895321,0.9766628641517004,0.004020263681376294,3
2016-10-02 04:00:00,1250.0,2214.989760644157,1781.5894419393512,2683.450378800106,1550.3947135520775,1116.994394847272,2018.8553317080268,0.9715396072997227,0.003048521628262847,4
2016-10-02 05:00:00,1257.0,2215.03763033105,1766.1709652071029,2700.7070267854133,1513.1398644293736,1064.2731993054267,1998.809260883737,0.9772966620712473,0.004299988078389777,5
