ds,y,yhat,yhat_lower,yhat_upper,adjusted_y,adjusted_y_lower,adjusted_y_upper,p_value_adj,p_value
2015-01-01 00:00:00,2001.0,1966.3805248178367,1679.1002145649595,2246.0150567483765,1965.964143437959,1678.6838331850818,2245.598675368499,0.5007296959297413,0.56218826509165
2015-01-01 01:00:00,1950.0,1847.181086854461,1557.592300378351,2134.917088724727,1847.1409545248723,1557.5521680487623,2134.876956395138,0.5000702433832802,0.6759764910895043
2015-01-01 02:00:00,1912.0,1751.7769180767418,1477.0582022840701,2025.3651527996678,1751.4425310739364,1476.7238152812647,2025.0307657968624,0.5005849806943419,0.7730639096828291
2015-01-01 03:00:00,1866.0,1691.4761418173955,1419.0558847983054,2009.3808402851269,1691.4696199521397,1419.0493629330497,2009.374318419871,0.5000114207744071,0.7757016540698738
2015-01-01 04:00:00,1859.0,1677.851464177138,1383.8533987454073,1981.1825379526122,1677.8692504192672,1383.8711849875365,1981.2003241947414,0.49996874219385873,0.7815083319720428
2015-01-01 05:00:00,1861.0,1719.3566097455562,1420.820370287137,2011.2488151051832,1719.485080128484,1420.9488406700648,2011.377285488111,0.4997748656535838,0.7306852372584246
2015-01-01 06:00:00,1885.0,1811.8575512034192,1518.714667977762,2090.298235548503,1812.1908629271625,1519.0479797015053,2090.631547272246,0.49941481011938554,0.6285390291232873
2015-01-01 07:00:00,1932.0,1933.3908959944567,1654.8889419042548,2227.4842259983625,1933.5305434711784,1655.0285893809764,2227.623873475084,0.49975548347158066,0.49751617936509535
2015-01-01 08:00:00,1971.0,2051.568007107155,1753.7773718893015,2358.2661550748903,2051.5024125293003,1753.711777311447,2358.2005604970354,0.5001147639788166,0.3663192804690101
2015-01-01 09:00:00,1980.0,2140.417572406363,1858.1747217320483,2431.597096171263,2140.3375343304156,1858.094683656101,2431.5170580953154,0.5001402455721699,0.23667470640593363
2015-01-01 10:00:00,2008.0,2193.5466998506126,1901.1826456377396,2488.4785790843157,2193.2033376923796,1900.8392834795065,2488.1352169260826,0.5006002592688389,0.20903584662600383
2015-01-01 11:00:00,2036.0,2222.66347238991,1927.8277451046383,2497.7178747440134,2222.4896045916335,1927.6538773063617,2497.544006945737,0.5003040912354149,0.20058702907450376
2015-01-01 12:00:00,2037.0,2243.3572778601233,1945.056018569752,2536.282276654801,2243.1189423125406,1944.8176830221696,2536.0439411072184,0.5004160128241198,0.18549867847824208
2015-01-01 13:00:00,2009.0,2261.4102329430616,1965.6683808409084,2556.403584968002,2261.2401632224487,1965.4983111202955,2556.2335152473893,0.5002988686391273,0.13672183014277717
2015-01-01 14:00:00,1948.0,2271.7300747424006,1968.6946160045156,2546.255597017857,2271.889292689987,1968.8538339521021,2546.4148149654434,0.4997211966693033,0.07540859046186636
2015-01-01 15:00:00,1903.0,2269.301212733973,1973.583343939205,2566.471723531427,2269.4448121256337,1973.7269433308659,2566.6153229230877,0.49974794442178133,0.05664819673425778
2015-01-01 16:00:00,1890.0,2259.6953239528943,1972.5438513500867,2563.2519394963997,2259.8453837927223,1972.6939111899146,2563.4019993362276,0.49973704065248326,0.05434369315199394
2015-01-01 17:00:00,1926.0,2257.2689107242977,1971.5809569239914,2531.542727491142,2257.333681128812,1971.6457273285055,2531.6074978956563,0.49988680020127607,0.06472032286044586
2015-01-01 18:00:00,2066.0,2271.64183541701,2010.0538477292644,2576.639805712022,2271.157419244556,2009.5694315568103,2576.1553895395678,0.5008486446280839,0.17611413985536895
2015-01-01 19:00:00,2112.0,2295.183520800423,2002.1107259603143,2591.509064447433,2295.1417657037246,2002.0689708636157,2591.4673093507345,0.5000732044386325,0.21283994441248089
2015-01-01 20:00:00,2087.0,2304.131554714949,2005.1446639314577,2591.28724288255,2304.311461793269,2005.3245710097774,2591.46714996087,0.4996853224917928,0.17118830785996714
2015-01-01 21:00:00,2040.0,2273.6731692173944,1983.6537638192247,2583.876938644725,2273.7201348464337,1983.700729448264,2583.9239042737645,0.4999173673649712,0.15917777263945432
2015-01-01 22:00:00,1971.0,2194.676486121744,1898.5429161750833,2469.1438755079066,2194.8544304861894,1898.7208605395288,2469.321819872352,0.49968866971668113,0.15751090683333224
2015-01-01 23:00:00,1905.0,2078.7330425137015,1786.012842864721,2388.684206860663,2078.6141800236837,1785.893980374703,2388.565344370645,0.5002079773820907,0.22999301342437495
2015-01-02 00:00:00,1844.0,1949.2530377204985,1667.878897693625,2233.054056649849,1948.9137458238972,1667.5396057970238,2232.7147647532474,0.5005929544801526,0.3165639965998771
2015-01-02 01:00:00,1786.0,1828.4150401892775,1534.5708457649482,2124.6957065541364,1828.6764909881874,1534.832296563858,2124.9571573530466,0.4995398469974345,0.42691955747583415
2015-01-02 02:00:00,1730.0,1731.330265002989,1447.196496427915,2023.789395964263,1731.292233900559,1447.158465325485,2023.7513648618328,0.5000666503935658,0.4976409209618704
2015-01-02 03:00:00,1705.0,1669.2812465427887,1377.8329486604443,1955.123051389513,1669.3501243481664,1377.901826465822,1955.1919291948907,0.49987944858655275,0.5630029619598917
2015-01-02 04:00:00,1701.0,1653.8124651671274,1372.2848011772367,1959.7814788563312,1653.7681158612086,1372.2404518713179,1959.7371295504124,0.500077726202683,0.5815528241268515
2015-01-02 05:00:00,1730.0,1693.3472794296797,1394.0810838175537,1979.1154606944674,1693.3183787135642,1394.0521831014382,1979.086559978352,0.5000506106668674,0.5637878169098882
2015-01-02 06:00:00,1804.0,1783.7197060718227,1500.0859571203753,2072.777711066056,1783.8667562666315,1500.233007315184,2072.9247612608647,0.4997421775790655,0.5361604211501839
2015-01-02 07:00:00,1929.0,1902.9334034365172,1637.9963356701464,2184.9485604090623,1902.722886235523,1637.7858184691522,2184.738043208068,0.5003689626488758,0.5486107285181094
2015-01-02 08:00:00,2035.0,2018.566426938037,1748.522974065507,2313.818309899383,2018.3976128018385,1748.3541599293085,2313.649495763185,0.5002966344111297,0.5296982617145052
2015-01-02 09:00:00,2065.0,2104.6144618520307,1821.6896738684104,2400.510298707115,2104.628426994886,1821.703639011266,2400.5242638499703,0.4999755603620674,0.4303753309767856
2015-01-02 10:00:00,2102.0,2154.652601470776,1874.0285497409695,2443.5890282593773,2154.6583227634133,1874.0342710336067,2443.5947495520145,0.49999000106148,0.40635004265078745
2015-01-02 11:00:00,2120.0,2180.358594250578,1873.6274219090913,2463.4939748127254,2179.962807435328,1873.2316350938415,2463.0981879974756,0.5006948665055605,0.3965559904435463
2015-01-02 12:00:00,2096.0,2197.293865187858,1918.91186902682,2510.599475368124,2197.2458430318334,1918.8638468707954,2510.551453212099,0.5000842306436724,0.3304068422589892
2015-01-02 13:00:00,2045.0,2211.2156202276246,1948.4648579193192,2506.180410638999,2211.255521594546,1948.5047592862406,2506.2203120059203,0.49992994839405736,0.2224693676690943
2015-01-02 14:00:00,2011.0,2217.0103968833505,1935.6195732300312,2507.3269881619035,2216.9737405923643,1935.582916939045,2507.2903318709173,0.5000642715269484,0.17784870769629657
2015-01-02 15:00:00,1961.0,2209.645743784782,1905.4702690553315,2488.9873774071257,2209.961593640985,1905.7861189115342,2489.3032272633286,0.4994472730917562,0.13737738397150845
2015-01-02 16:00:00,1914.0,2194.6814021515047,1902.8855233566305,2478.081897147062,2194.5568545642654,1902.760975769391,2477.957349559823,0.5002178489848261,0.1055164942839702
2015-01-02 17:00:00,1918.0,2186.467399124207,1909.8243697640607,2472.031507894016,2186.0780634790367,1909.4350341188901,2471.642172248846,0.5006794898007751,0.1104868184379359
2015-01-02 18:00:00,2045.0,2194.6230585924473,1890.0433830257473,2499.447046070245,2194.6599275454337,1890.0802519787335,2499.4839150232315,0.49993553889739756,0.2645754738281171
2015-01-02 19:00:00,2116.0,2211.523609975543,1914.0724866562366,2483.4404400610642,2211.6630705360394,1914.211947216733,2483.5799006215607,0.4997561826053272,0.3335922988969916
2015-01-02 20:00:00,2095.0,2213.4191262844693,1922.915436095053,2497.9578244244985,2213.806738082465,1923.303047893049,2498.3454362224943,0.4993234036783086,0.29881119567401027
2015-01-02 21:00:00,2054.0,2175.516255199594,1876.765983987733,2487.9317049343645,2175.269997559274,1876.519726347413,2487.6854472940445,0.5004318014874416,0.3051609073012005
2015-01-02 22:00:00,2012.0,2088.7096296426416,1790.472276173995,2376.861759711372,2088.502043225343,1790.2646897566965,2376.6541732940736,0.5003643894333092,0.3687004914441193
2015-01-02 23:00:00,1925.0,1964.624467023127,1672.2369271455536,2256.651686743292,1964.6314016647345,1672.2438617871612,2256.6586213848996,0.49998781729292946,0.431017837605332
2015-01-03 00:00:00,1829.0,1826.7117954298867,1539.6876836813574,2105.893037604309,1827.0333097306939,1540.0091979821646,2106.2145519051164,0.4994369214681354,0.5041322754003356
2015-01-03 01:00:00,1752.0,1697.1980431924562,1400.051527474873,1976.690817276597,1696.9606525615532,1399.81413684397,1976.453426645694,0.5004150003751322,0.5962254789118586
2015-01-03 02:00:00,1702.0,1591.249101751775,1294.8830182881698,1877.0403661622177,1591.0875456630306,1294.7214621994253,1876.8788100734732,0.5002832982810608,0.6870870842317167
2015-01-03 03:00:00,1663.0,1520.2086867715116,1217.2208954604823,1821.6614607280915,1520.3264040046286,1217.3386126935993,1821.7791779612085,0.499793149762749,0.7275766424734705
2015-01-03 04:00:00,1658.0,1495.6885582201894,1191.248568865952,1784.7573357274703,1495.7555307852313,1191.3155414309938,1784.8243082925121,0.49988291828419806,0.758333413233867
2015-01-03 05:00:00,1671.0,1526.1849537451535,1241.7023836326296,1836.6221598160796,1526.2244343605057,1241.7418642479818,1836.6616404314318,0.499930870450455,0.7336563782193282
2015-01-03 06:00:00,1708.0,1607.6097819879537,1339.523614213406,1890.2404935328566,1607.6724207362142,1339.5862529616666,1890.303132281117,0.4998900882700903,0.6798317068994898
2015-01-03 07:00:00,1776.0,1718.0489367828336,1431.7789598416296,2015.9933725688068,1718.2818636681347,1432.0118867269307,2016.226299454108,0.4995905985097596,0.6003474897774786
2015-01-03 08:00:00,1841.0,1825.1663074190587,1526.8017535404192,2113.7933045754335,1824.971238269441,1526.6066843908015,2113.598235425816,0.5003423967627315,0.5275600895107068
2015-01-03 09:00:00,1893.0,1903.0461979784468,1628.0616332104228,2184.9941343591663,1903.483611584882,1628.499046816858,2185.4315479656016,0.4992353463362956,0.4815617112260421
2015-01-03 10:00:00,1942.0,1945.3542321345165,1647.0801599658337,2230.5462270548205,1945.2917759008717,1647.017703732189,2230.4837708211758,0.5001091720406401,0.49412188682392255
